HGNC_Approved_Symbol	HGNC_ID	pLI	LOEUF_gnomAD_v2.1.1	pHaplo	HIscore	Enhancer_Gnocchi	Mean_AlphaMissense_pathogenicity	Genovo_LOEUF_corrected	Curated_by_ClinGenSVI_group	Curated_from_G2P
PITPNC1	HGNC:21045	0.99252	0.249	0.976681520600149	NA	3.994006106	0.596831564	0.266784733	False	False
ADA	HGNC:186	2.8825e-12	1.321	0.258454073288456	NA	3.570199348	0.44405107	1.404126935	False	True
HOXA1	HGNC:5099	0.28514	0.628	0.889354141373019	NA	2.8179125430000003	NA	NA	False	True
TNFAIP3	HGNC:11896	0.99972	0.196	0.978811543818928	NA	5.988542138	0.40287452	NA	False	False
MAK	HGNC:6816	8.626600000000001e-19	1.205	0.386751464760318	NA	2.775006916	0.411548002	1.406105297	True	True
WAC	HGNC:17327	1.0	0.084	0.990460398793686	3.0	2.076829599	0.422103757	0.022190151	True	True
FANCE	HGNC:3586	1.5278e-06	0.892	0.255716653060053	30.0	4.503813486	0.234719245	0.953214678	False	True
MBTD1	HGNC:19866	1.0	0.077	0.992810714313659	NA	0.04572503795	0.560450065	0.024668034	False	False
DYRK2	HGNC:3093	0.99751	0.17	0.918162448765709	NA	3.480487937	0.555209176	0.078858714	False	False
SLC41A2	HGNC:31045	0.96597	0.327	0.590546129546318	NA	2.959075968	0.484027327	0.383395484	False	False
DPF2	HGNC:9964	0.99985	0.161	0.439575413671102	NA	2.585965958	0.612930384	0.031578883	True	False
RAPSN	HGNC:9863	0.0015148	0.741	0.117175775752333	NA	2.788525523	0.522405904	0.907056756	False	True
CDT1	HGNC:24576	2.5825e-10	1.215	0.56540123617221	30.0	1.329308455	0.275692148	1.393859832	True	True
YEATS2	HGNC:25489	0.99639	0.28	0.953502759599286	NA	0.591613182	0.419674768	0.340827051	False	False
SENP5	HGNC:28407	0.99978	0.191	0.973412971298036	NA	3.656470284	0.356979688	0.15045673	False	False
PEX26	HGNC:22965	0.93189	0.366	0.234704900894311	30.0	3.948107557	0.28400684	0.655217963	False	True
HPS6	HGNC:18817	0.00027656	0.714	0.101289908425627	NA	1.659102233	0.30500832	NA	False	True
LZTR1	HGNC:6742	1.0210999999999999e-92	1.994	0.160801017131936	NA	2.431655462	NA	NA	True	True
GLIS2	HGNC:29450	0.85834	0.415	0.854971020035826	NA	3.34068401	0.491600356	0.261341088	False	True
TCF7L2	HGNC:11641	0.99537	0.273	0.994325249484766	1.0	3.604674033	0.600600821	0.226524707	False	True
FNBP4	HGNC:19752	1.0	0.142	0.962844415629937	NA	2.037326317	0.376353833	0.125404966	False	False
PPME1	HGNC:30178	0.99904	0.193	0.679430732349297	NA	2.395688679	0.566014344	0.16008001	False	False
HPS5	HGNC:17022	1.8969e-13	0.733	0.815199872140826	NA	2.718330515	0.336405065	0.821787837	True	True
LHX9	HGNC:14222	0.98062	0.288	0.970509796335372	NA	2.268835248	0.554122843	0.289583012	False	False
HPRT1	HGNC:5157	0.93728	0.34	NA	3.0	NA	0.639003836	NA	True	True
PRPF40B	HGNC:25031	0.99963	0.246	0.757396940596636	NA	2.981529279	0.465733057	0.318727886	False	False
RSPRY1	HGNC:29420	0.99981	0.189	0.870341056764576	NA	2.117486795	0.559545311	0.195750543	False	True
RAB14	HGNC:16524	0.99047	0.214	0.965380292494366	NA	2.514987046	0.69967995	0.127846859	False	False
PCSK2	HGNC:8744	0.99853	0.241	0.95104535465385	NA	3.633299583	0.594898815	0.100094354	False	False
ZNF503	HGNC:23589	0.94589	0.349	0.925698683804479	NA	2.362669992	0.485179698	0.289498952	False	False
IGF1	HGNC:5464	0.2716	0.806	0.874142848009153	NA	2.660583778	0.335633842	0.169156633	False	True
DBT	HGNC:2698	1.0467e-05	0.816	0.373213819001519	30.0	1.888268033	0.416896767	0.910767083	False	True
PEX5	HGNC:9719	5.5557e-05	0.59	0.377686980216083	NA	2.4989333680000003	0.445957651	NA	True	True
SLC25A1	HGNC:10979	0.058829	0.649	0.0909024826198839	30.0	3.857066507	0.6308845	0.694981156	False	True
SRRM1	HGNC:16638	1.0	0.146	0.981393460297366	NA	3.625325708	0.493380652	0.068939632	False	False
PRPF3	HGNC:17348	1.0	0.068	0.730647138519763	NA	2.120164243	0.62223567	0.053797866	False	False
EEF1A1	HGNC:3189	0.97863	0.293	0.802496794552261	NA	1.708437772	0.821339723	0.319140091	False	False
RGS19	HGNC:13735	0.96134	0.295	0.71959798518048	NA	6.3457569970000005	0.4245058	0.089399893	False	False
SLC29A3	HGNC:23096	1.2925e-07	1.322	0.227026587536966	NA	2.501243348	0.31918047	1.125252766	True	False
AFF4	HGNC:17869	1.0	0.138	0.98585743238616	NA	0.03718860505	0.401863381	0.117420035	False	False
SKIC3	HGNC:23639	1.725e-29	0.783	0.183770447323854	30.0	1.591591485	0.317895626	0.789852218	True	True
MTRFR	HGNC:26784	0.20896	0.907	0.3758700714821	NA	4.70845727	0.330659488	1.481417479	False	True
SCARB2	HGNC:1665	8.9495e-05	0.724	0.383435238146201	0.0	2.557621812	0.386859523	0.939556964	True	False
NASP	HGNC:7644	0.99553	0.276	0.912804610418532	NA	2.38541615	0.303004279	0.322096074	False	False
HNRNPC	HGNC:5035	0.97772	0.295	0.897822755055757	NA	-1.4115237580000002	0.595409995	0.052217648	False	False
CFAP298	HGNC:1301	1.1187e-06	1.058	0.562244977132933	NA	NA	0.441528418	1.294854954	False	True
FBXL16	HGNC:14150	0.96981	0.311	0.551560400921638	NA	5.153577199	0.583679585	0.112035576	False	False
POLR1C	HGNC:20194	6.3221e-10	1.401	0.354061632608605	NA	2.567942225	NA	NA	False	True
NAV1	HGNC:15989	1.0	0.08	0.990261347492271	NA	3.751270198	0.464333522	NA	False	False
TAP1	HGNC:43	5.3431e-06	0.656	0.521591807494551	NA	5.207223887	0.246703994	0.585939708	False	True
DEDD	HGNC:2755	0.95912	0.329	0.684953872777786	NA	2.569804257	0.639861623	0.107949702	False	False
HIBCH	HGNC:4908	2.5766e-13	1.186	0.423274189873485	NA	5.068491942	0.378583766	1.268561883	False	True
FNIP2	HGNC:29280	1.0	0.13	0.984589908973098	NA	3.104553722	0.371173021	0.120733681	False	False
LAMC2	HGNC:6493	2.8791e-12	0.648	0.43024054998862	30.0	3.634683948	0.284319666	0.582958843	False	True
TBC1D20	HGNC:16133	0.93074	0.364	0.990615146563051	30.0	4.810077585	0.468627039	0.336617685	False	True
TIAM1	HGNC:11805	0.95662	0.304	0.978575394999178	NA	4.191489042	0.422536809	0.256673337	False	False
GUCY2C	HGNC:4688	1.3919000000000001e-30	1.079	0.306555572828071	0.0	3.247444982	0.439911368	1.075010752	False	True
INTS2	HGNC:29241	0.99698	0.277	0.94937845673626	NA	3.918960947	0.5334779	0.206012923	False	False
HIPK2	HGNC:14402	1.0	0.156	0.984445940003732	NA	4.205949537	0.446449221	NA	False	False
SIN3B	HGNC:19354	0.99999	0.195	0.728303590650828	NA	2.129209646	0.504796502	0.10607046	False	False
CDC34	HGNC:1734	0.95625	0.305	0.575998585359144	NA	1.056893847	0.625600498	0.751143308	False	False
SPRY2	HGNC:11270	0.97126	0.273	0.953543072036805	NA	1.5463677690000002	0.376874601	0.062939638	False	False
CSNK1D	HGNC:2452	0.99577	0.231	0.810106773881939	NA	NA	0.674397302	0.181409872	False	False
NR2F1	HGNC:7975	0.99482	0.191	0.9944126583088	3.0	5.116241247	0.664449654	0.0	False	True
NUS1	HGNC:21042	0.98117	0.247	0.794140682328791	3.0	3.336191527	0.362987357	0.0	True	True
SPRED1	HGNC:20249	0.97246	0.319	0.964361729425609	3.0	1.743156861	0.4692175	0.191154053	False	True
MTHFD1	HGNC:7432	0.0044614	0.448	0.836542903745718	NA	1.992124707	NA	NA	True	False
LARP7	HGNC:24912	9.3352e-08	0.842	0.479660441758151	NA	1.665113829	NA	1.728141627	True	True
PKD2	HGNC:9009	0.00017271	0.497	0.8878762834263	3.0	3.011459174	0.41372409	0.399988036	True	False
NCDN	HGNC:17597	0.99964	0.175	0.92267234937864	NA	3.623852588	0.418384819	0.115192882	False	False
PRMT8	HGNC:5188	0.98023	0.303	0.984524586860493	NA	4.93028169	0.608028016	0.270883191	False	False
TUBB	HGNC:20778	0.97889	0.292	0.891854266187513	NA	4.41038071	0.807505694	0.098559402	False	False
PAX2	HGNC:8616	0.66999	0.434	0.99346409258648	3.0	4.549960586	0.599319122	0.161803995	False	True
IGHMBP2	HGNC:5542	3.0212e-16	0.953	0.207301361156337	30.0	1.255584598	0.324318193	0.920056807	True	True
IWS1	HGNC:25467	0.99727	0.267	0.933701277061033	NA	4.574413873	0.403668234	0.185243909	False	False
PLEC	HGNC:9069	8.3469e-12	0.392	0.133452217848015	NA	5.904850700000001	0.395419769	0.364959151	True	True
GCH1	HGNC:4193	0.90292	0.398	0.928296515016283	3.0	1.880808978	0.600590411	0.173659264	True	False
MLLT3	HGNC:7136	0.99964	0.131	0.990968445075135	NA	3.344096641	0.462774717	0.032883159	False	False
PTRH2	HGNC:24265	0.00063822	1.703	0.454347315859464	NA	3.285502681	0.39389568	1.543061117	False	True
HNRNPA1	HGNC:5031	0.99911	0.147	0.921760172976479	NA	1.909875849	0.715879945	0.269236427	False	False
ADGRB1	HGNC:943	1.0	0.14	0.966674615023701	NA	NA	0.512200235	0.076962527	False	False
TCP1	HGNC:11655	0.99527	0.255	0.992816210818483	NA	0.7673631337000001	0.611490819	0.215875583	False	False
GTF3C2	HGNC:4665	0.9944	0.285	0.96663539733189	NA	1.281263029	0.32956195	0.136998895	False	False
BFSP1	HGNC:1040	1.8463e-07	1.119	0.355970207954162	NA	2.933298334	0.26229429	0.964235918	False	True
HPS3	HGNC:15597	2.9432999999999997e-21	1.019	0.562729209315094	30.0	1.767347741	0.304137464	1.083844171	False	True
ACVRL1	HGNC:175	0.00096719	0.692	0.466347589615833	3.0	4.156655968	0.502509913	0.424162417	True	True
GATA6	HGNC:4174	0.99709	0.174	0.993144172674303	3.0	6.690616587	0.371963169	0.082714069	False	True
RTF1	HGNC:28996	1.0	0.122	0.866052751124142	NA	1.443500108	0.513791043	0.060428007	False	False
TRAPPC12	HGNC:24284	5.3624e-16	1.193	0.942545412247476	NA	1.442187331	0.415836984	1.303144188	False	True
ETFDH	HGNC:3483	2.778e-13	1.044	0.870798960684702	30.0	4.558614019	0.473254402	1.192132217	True	True
AAAS	HGNC:13666	2.4356e-13	0.988	0.137297093916424	NA	3.1203651710000004	0.420138747	1.241776338	True	True
BMAL1	HGNC:701	0.99444	0.277	0.994282179967701	NA	3.061431742	0.550438271	0.109945813	False	False
CRYBA1	HGNC:2394	6.4088e-05	1.002	NA	0.0	0.9221247275	0.547672846	0.928015121	False	True
SCN2A	HGNC:10588	1.0	0.127	0.964925380721977	3.0	1.4765017969999998	NA	0.038232786	True	True
ARID5B	HGNC:17362	1.0	0.11	0.995354721587368	NA	2.19394886	0.401081809	0.045784689	False	False
SBDS	HGNC:19440	6.2076e-05	1.225	0.416940858618553	NA	0.9798284203	0.559173688	1.174690555	True	True
ARFGEF1	HGNC:15772	1.0	0.143	0.986704383393007	NA	1.585309929	0.590152149	0.123833034	False	True
LIPA	HGNC:6617	5.532e-07	0.998	0.356779860935653	30.0	2.862705027	0.4211834	1.001139832	True	False
ABHD17C	HGNC:26925	0.95762	0.302	0.901037297127641	NA	2.641873822	0.671324096	0.096907216	False	False
DLGAP3	HGNC:30368	0.99998	0.136	0.941752997822547	NA	4.20456469	0.44614059	0.122991138	False	False
PTPRK	HGNC:9674	0.90291	0.309	0.969990625056577	NA	1.948393484	0.568412021	0.27270737	False	False
MAP3K4	HGNC:6856	1.0	0.184	0.994501290601941	NA	6.2463401460000005	0.475073799	0.171835343	False	False
ATP1B1	HGNC:804	0.99881	0.153	0.912359131687705	NA	2.566472728	0.573706303	0.100360872	False	False
ECM1	HGNC:3153	4.6627e-14	1.126	0.221280917579758	NA	2.577432398	0.315538519	1.331406506	False	True
BRWD1	HGNC:12760	1.0	0.222	0.990278473878157	NA	1.784727951	0.409292009	0.225314911	False	False
CHRNG	HGNC:1967	3.3338000000000003e-19	1.316	0.482476863610236	NA	2.493201815	NA	NA	True	True
PAX3	HGNC:8617	0.24063	0.475	0.974107583690437	3.0	2.973854249	0.565362483	0.170896809	True	True
PRPF4	HGNC:17349	0.9993	0.227	0.957123758107426	NA	NA	0.56522542	0.102479355	False	True
UFM1	HGNC:20597	0.15655	1.035	0.123977867975496	NA	0.9923496449	0.796561961	1.849538925	False	True
PEX10	HGNC:8851	0.00054204	0.86	0.483417590527885	NA	1.620285673	0.334512582	1.576844625	False	True
PANK4	HGNC:19366	0.98325	0.304	0.903282581807727	NA	2.775672538	0.519187511	0.243453929	False	False
LMTK3	HGNC:19295	0.99997	0.182	0.86367143972462	1.0	NA	NA	0.16334579	False	False
RNF17	HGNC:10060	1.0	0.089	0.902837090555477	NA	NA	0.279560224	0.092146945	False	False
TUSC3	HGNC:30242	3.4606e-06	0.926	0.154270180455808	30.0	-1.646140429	0.617665146	0.887962765	True	True
CHKA	HGNC:1937	0.22747	0.479	0.307705585760938	NA	2.138172047	0.445258605	0.444501086	False	True
XPC	HGNC:12816	3.6866e-11	0.782	0.56974767330281	30.0	3.336907211	0.314641574	0.889117595	True	True
NRBP1	HGNC:7993	0.99998	0.135	0.891647375766756	NA	2.9181588730000003	0.575350707	0.052114724	False	False
HBB	HGNC:4827	1.2274e-09	1.978	0.102284830321856	NA	NA	NA	5.085260477	True	False
CEP83	HGNC:17966	4.2942e-14	0.894	0.498796451606645	NA	NA	0.247449268	0.788041243	True	True
CSTB	HGNC:2482	0.0065562	1.854	0.326909632282189	30.0	4.557677402	0.298042656	2.476078091	True	True
EMC1	HGNC:28957	6.7281e-26	1.009	0.708087597343274	NA	2.118335085	0.453065055	1.057820164	False	True
MTSS2	HGNC:25094	0.97998	0.309	0.803743212752111	NA	NA	0.568864875	0.226397275	False	False
TEAD3	HGNC:11716	0.99362	0.264	0.962659710911068	NA	4.455830723	0.628894074	0.184186642	False	False
RPTOR	HGNC:30287	1.0	0.101	0.976478859601994	NA	5.033883689	0.621419193	0.065690284	False	False
COL4A3	HGNC:2204	1.0699e-12	0.522	0.903436791565437	30.0	3.885014893	0.280830419	0.738922352	True	True
RHO	HGNC:10012	0.00013108	1.083	0.136476364042971	NA	5.000106197	0.629937832	0.94613133	False	True
CAPRIN1	HGNC:6743	0.97247	0.311	0.979872425038422	NA	-0.220193117	0.445129519	0.280431472	False	False
ARRB1	HGNC:711	0.99394	0.262	0.710508003599049	NA	2.885811787	0.671212603	0.151803993	False	False
PSMA7	HGNC:9536	0.98768	0.225	0.975311363339725	NA	1.589174279	0.671198702	0.144971373	False	False
SIK3	HGNC:29165	1.0	0.128	0.983233411434807	NA	1.701333191	0.441259013	0.132591836	False	False
SKP2	HGNC:10901	0.96042	0.333	0.959069770219416	NA	0.569440127	0.433856121	0.166855075	False	False
CCT5	HGNC:1618	0.99928	0.188	0.972107363543319	30.0	3.056271372	0.617397995	0.165480293	False	False
HSPE1-MOB4	HGNC:49184	0.9709	0.309	0.742661463028744	NA	NA	NA	0.118856192	False	False
ACSL4	HGNC:3571	0.98103	0.306	NA	1.0	NA	0.505027847	NA	False	True
ELN	HGNC:3327	2.1429e-14	0.871	0.437621942187208	3.0	3.754729628	0.460507765	0.679944516	True	True
DAZAP1	HGNC:2683	0.99985	0.119	0.838804945369283	NA	NA	0.549278339	0.031498383	False	False
DNAAF6	HGNC:28570	0.85529	0.472	NA	NA	NA	0.263071846	NA	False	True
SNORD118	HGNC:32952	NA	NA	NA	NA	NA	NA	NA	False	True
COQ9	HGNC:25302	5.5253e-06	1.011	0.304749306417232	NA	2.430321521	0.329256948	1.035428877	False	True
CNOT3	HGNC:7879	1.0	0.076	0.992910134208298	0.0	NA	0.580059641	0.044263518	True	True
RP1L1	HGNC:15946	1.8205e-10	1.954	0.0600044675422435	NA	-2.443061527	0.195120352	1.903962695	True	True
PPIB	HGNC:9255	4.7242e-05	1.6	0.486511956474659	30.0	5.061078844	0.624856999	1.802480989	True	False
COX15	HGNC:2263	1.1031e-13	1.327	0.542884202879447	30.0	2.632254031	0.458081646	1.29539293	True	True
U2SURP	HGNC:30855	1.0	0.077	0.989493768159181	NA	2.662234162	0.577035288	0.024312421	False	False
NAXD	HGNC:25576	0.0069972	0.8	0.73211105564533	NA	NA	NA	NA	False	True
CA8	HGNC:1382	0.0082516	0.67	0.299982741366559	30.0	1.762920126	0.586651144	0.522240213	False	True
COL12A1	HGNC:2188	0.97361	0.282	0.995061690897365	NA	2.955810822	0.443016014	0.200084677	True	False
APBB1	HGNC:581	0.96811	0.321	0.840240641949487	NA	2.973880017	NA	0.169855336	False	False
ALG12	HGNC:19358	1.1758e-07	1.033	0.578106055283545	30.0	4.926736323	0.377435216	1.087719454	False	True
NPAS1	HGNC:7894	0.97067	0.319	0.856464004145659	NA	3.090619115	0.356701506	0.541519848	False	False
SPIN1	HGNC:11243	0.97049	0.274	0.81442641534438	NA	2.669026564	0.703372427	0.0	False	False
CIT	HGNC:1985	0.9997	0.261	0.943580072379254	NA	3.834224548	0.528537445	0.233949865	False	False
PPP1R10	HGNC:9284	1.0	0.154	0.973939741502575	NA	NA	0.468788741	0.079094826	False	False
RSPO2	HGNC:28583	0.024608	0.762	0.323446229575149	NA	2.051666686	0.503307715	0.69140753	False	True
ANO8	HGNC:29329	0.95634	0.317	0.732588216705868	NA	NA	0.463137171	0.439985587	False	False
EIF2S1	HGNC:3265	0.97031	0.31	0.983466110394424	NA	1.881646487	0.641393602	0.106439541	False	False
VRK1	HGNC:12718	0.0021149	0.634	0.74737596018342	NA	3.360447452	0.401743167	0.587088095	True	True
USP37	HGNC:20063	0.99999	0.189	0.982523800021771	NA	1.76889362	0.45742074	0.201645146	False	False
MET	HGNC:7029	0.96998	0.305	0.987901306874762	0.0	3.050563619	0.399995587	0.197101968	False	False
ASPH	HGNC:757	6.6268e-15	0.821	0.376375144083601	30.0	1.205231711	0.4190077	0.908049233	False	True
NUDT21	HGNC:13870	0.98576	0.232	0.925949362792004	NA	2.7628705310000004	0.791964627	0.076818489	False	False
UPF2	HGNC:17854	1.0	0.099	0.992513082877036	0.0	4.110065876	0.570454809	0.080484592	False	False
STRN4	HGNC:15721	0.99376	0.28	0.750174737840818	NA	2.17384395	0.465820673	0.239591636	False	False
ENPP1	HGNC:3356	4.9944e-08	0.586	0.693379337042642	30.0	3.0690668910000003	NA	NA	True	True
FIGN	HGNC:13285	0.98917	0.281	0.968320539654754	NA	2.858274927	0.357622916	0.082204009	False	False
CDK1	HGNC:1722	0.99206	0.207	0.852797352862506	NA	0.8840324911	NA	0.0	False	False
DARS2	HGNC:25538	9.7876e-13	0.915	0.572706851028324	30.0	1.247108731	NA	NA	True	True
FA2H	HGNC:21197	0.14678	0.556	0.661183917283325	30.0	2.286930732	0.391776951	0.305347966	True	True
CBX6	HGNC:1556	0.97568	0.262	0.747536515896998	NA	4.362238761	0.506458082	0.135294214	False	False
GCNT2	HGNC:4204	2.4065e-05	1.161	0.460454824599407	NA	3.813364936	0.400442013	1.676964242	False	True
LENG8	HGNC:15500	0.99938	0.248	0.831496116767291	NA	4.330433747	0.460200318	0.119423102	False	False
RAB10	HGNC:9759	0.97213	0.271	0.925942367976224	NA	2.2685216930000003	0.671235888	0.0	False	False
ERCC5	HGNC:3437	2.732e-13	0.805	0.839722360570811	30.0	4.118107872	NA	NA	False	True
RD3	HGNC:19689	2.5702e-05	1.726	0.278296832742025	NA	2.481948742	0.299830782	NA	False	True
SLC39A10	HGNC:20861	0.9927	0.278	0.940370300371211	NA	2.267833695	0.371034494	0.114352748	False	False
FRMD4A	HGNC:25491	1.0	0.135	0.994540523995219	NA	2.035244209	0.546667028	0.077126362	False	False
AHCTF1	HGNC:24618	1.0	0.129	0.971698991530735	NA	0.5824468319	NA	NA	False	False
PPFIA2	HGNC:9246	1.0	0.139	0.815142529616724	NA	-0.2062316414999999	0.590286048	0.070398352	False	False
SOCS7	HGNC:29846	0.99807	0.233	0.917469004326718	NA	1.426411875	NA	NA	False	False
SMO	HGNC:11119	4.2771e-07	0.684	0.678566709479923	NA	4.91666033	0.502976992	0.665584899	False	True
HIF1A	HGNC:4910	0.9777	0.309	0.96820273014118	NA	2.435159007	0.406536336	0.177421658	False	False
CEP85L	HGNC:21638	4.5367e-09	0.707	0.410511105964159	NA	2.9529257560000004	0.296864584	0.558214634	False	True
PCDH1	HGNC:8655	0.99838	0.243	0.958008220485303	NA	2.991130094	0.468258802	0.109748118	False	False
SCUBE3	HGNC:13655	0.99939	0.252	0.976840933089562	NA	5.308748448	0.558153136	0.225657333	False	True
ILKAP	HGNC:15566	0.98116	0.301	0.980931682586181	NA	3.631427196	0.502636475	0.21244712	False	False
SMAD2	HGNC:6768	0.99661	0.259	0.981927770073753	0.0	2.493183502	0.681493594	0.086173108	True	False
NKX2-1	HGNC:11825	0.35874	0.586	0.973979329613038	NA	2.611805043	0.486716521	0.24748688	False	True
SINHCAF	HGNC:30702	0.96459	0.288	0.915496529476384	NA	NA	0.669054233	0.223405966	False	False
ENAH	HGNC:18271	0.99994	0.173	0.982352859127882	NA	3.397164649	0.480282945	0.215731231	False	False
PPP4R1	HGNC:9320	0.99958	0.243	0.97284570456179	NA	2.176067722	0.518487709	0.183433595	False	False
VPS13A	HGNC:1908	9.312499999999999e-22	0.484	0.749023723632344	30.0	-0.5773528247999999	0.345234058	0.505145786	True	False
APOA1	HGNC:600	0.00054909	1.338	0.3356038268693	NA	3.136098194	0.412006482	0.849516074	False	True
PPP1R16B	HGNC:15850	0.99974	0.169	0.62598334129156	NA	3.502153139	0.49650362	0.032211222	False	False
ERBIN	HGNC:15842	0.99402	0.285	0.842491324037917	NA	NA	0.417464706	0.294157969	False	False
MDH2	HGNC:6971	0.0066821	0.807	0.224453238241413	NA	0.3567845476	0.567627525	0.895250773	False	True
ALX1	HGNC:1494	0.17618	0.607	0.482467649841242	NA	1.33875275	0.462554063	0.268921739	False	True
BTBD18	HGNC:37214	0.99782	0.212	0.562359569605933	NA	3.092300302	0.234945415	0.256474691	False	False
WWTR1	HGNC:24042	0.72591	0.485	0.930802651255057	NA	3.298734889	0.491767976	0.231340595	True	False
DPYSL2	HGNC:3014	0.99375	0.274	0.977244778515142	NA	5.706740031	0.559479086	0.095114098	False	False
MYC	HGNC:7553	0.99801	0.164	0.928631626602762	NA	2.681928231	NA	NA	False	False
DIP2C	HGNC:29150	1.0	0.149	0.998596795061255	NA	3.112468943	0.596639784	0.123658381	False	False
FBXO22	HGNC:13593	0.97746	0.296	0.816585784642363	NA	3.224779694	0.386756573	0.386941355	False	False
RABGAP1	HGNC:17155	1.0	0.078	0.987211965456092	NA	2.299544006	0.536590818	0.025348856	False	True
P4HB	HGNC:8548	0.99662	0.224	0.921703382672707	NA	2.665357157	0.520436621	0.273365234	False	False
KLKB1	HGNC:6371	6.2893e-13	1.004	0.279374244987181	NA	4.197050272	0.348495016	1.345137083	True	False
KRT85	HGNC:6462	3.1183e-06	0.826	0.174778472975067	NA	2.129681582	0.428081042	0.836203399	False	True
ODAD2	HGNC:25583	1.9031000000000002e-25	1.153	0.269890860792499	NA	2.824075901	NA	1.123871779	True	True
SGSH	HGNC:10818	0.00010158	0.804	0.721818977050679	30.0	NA	0.465428496	0.967410568	False	True
FBXL20	HGNC:24679	0.99691	0.257	0.749175142368302	NA	1.70361708	0.667976074	0.180175878	False	False
RUNX1T1	HGNC:1535	0.97768	0.312	0.989819099373755	NA	2.380372751	0.549041233	0.195303281	False	False
ZFYVE19	HGNC:20758	3.2046e-14	1.143	0.147167251040226	NA	2.267901459	0.297276085	1.247341112	False	True
TMPRSS6	HGNC:16517	4.1369e-10	0.721	0.673813836686284	30.0	4.604184587	0.384091929	NA	False	True
ZC3H7B	HGNC:30869	0.92932	0.323	0.911086464427566	NA	1.5186069430000002	0.536798108	0.217373989	False	False
BMPR1B	HGNC:1077	0.99863	0.225	0.432527040654591	NA	3.312635409	0.526971712	0.140592806	False	True
FOXO1	HGNC:3819	0.99725	0.173	0.944465260835778	NA	2.347026511	0.378952276	0.0	False	False
CRACDL	HGNC:33454	0.99694	0.244	0.562909772098857	NA	2.891455664	0.295721522	0.166383446	False	False
TRIM37	HGNC:7523	9.7042e-12	0.642	0.357382838845234	30.0	2.239061705	0.489207627	0.77846092	False	True
PREPL	HGNC:30228	2.1551e-13	0.994	0.127892568255395	30.0	1.662795275	0.340503036	1.05815878	False	True
SMARCAL1	HGNC:11102	2.2554e-06	0.611	0.634417073479618	NA	3.195662065	0.305126976	0.638044242	False	True
PITPNM2	HGNC:21044	1.0	0.18	0.860331060974351	NA	5.3910760060000005	0.515381934	0.067370482	False	False
SMG7	HGNC:16792	0.99998	0.219	0.982194632494803	NA	2.555621471	0.466322488	NA	False	False
CBX1	HGNC:1551	0.97622	0.26	0.684602920074669	NA	3.76905317	0.697118882	0.0	False	False
CLN8	HGNC:2079	0.0035591	1.174	0.908631898322808	30.0	1.860944128	NA	1.022702367	False	True
NDUFS7	HGNC:7714	0.9142	0.386	0.361994769350612	30.0	3.645872586	0.589702845	0.342089095	False	True
MTF2	HGNC:29535	0.99987	0.184	0.934618758717551	NA	1.325000854	0.482859013	0.073561737	False	False
AKAP6	HGNC:376	0.99983	0.253	0.870527503160793	NA	3.940328056	0.310716782	0.17201054	False	False
ETF1	HGNC:3477	0.996	0.251	0.949310561471333	NA	2.36700332	0.754755515	0.064386587	False	False
YWHAG	HGNC:12852	0.964	0.289	0.693937734601134	NA	2.521731871	0.707400748	0.082812187	False	False
